,name,rating,industry,headquarter,other_locations,highly_rated_for,critically_rated_for,reviews,salaries,interviews,jobs,benefits
5001,MASAI School,4.2,EdTech,Bangalore / Bengaluru,7,"Company Culture, Salary & Benefits, Work Satisfaction",,212,691,25,26,4
5002,Sneha Farms,4.0,Agriculture,Hyderabad / Secunderabad,22,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,212,796,13,12,10
5003,Wave Infratech,3.9,Real Estate,Noida,8,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,212,1.1k,25,9,12
5004,Mayur Uniquoters,3.9,Leather,Jaipur,12,Work Life Balance,Promotions / Appraisal,212,967,12,--,30
5005,Appsierra,4.4,IT Services & Consulting,Noida,16,"Company Culture, Promotions / Appraisal, Skill Development / Learning",,212,267,32,32,169
5006,Fragomen Immigration Services,3.7,Travel & Tourism,Kochi,11,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,212,956,17,1,17
5007,Matix Fertilisers & Chemicals,3.7,Agro Chemicals,Durgapur,15,"Company Culture, Work Satisfaction, Job Security",,213,981,22,--,15
5008,BridgeLabz Solutions,3.4,EdTech,Mumbai,9,"Promotions / Appraisal, Salary & Benefits, Job Security",,212,515,22,--,77
5009,Zeelab Pharmacy,3.8,Pharma,New Delhi,27,Promotions / Appraisal,,220,583,38,10,6
5010,Yashi Consulting Services,3.3,IT Services & Consulting,Gurgaon / Gurugram,21,"Job Security, Promotions / Appraisal, Company Culture",,212,287,11,4,42
5011,Steril Gene Life Sciences,3.9,Pharma,Pondicherry / Puducherry,10,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",212,981,15,--,11
5012,WeRize,3.2,Financial Services,Bangalore / Bengaluru,19,"Company Culture, Work Life Balance, Work Satisfaction",,213,906,14,11,2
5013,Mitsui O.S.K. Lines,4.0,Ports & Shipping,Mumbai,16,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,212,766,5,--,18
5014,Furlenco,3.4,Internet,Bangalore / Bengaluru,15,"Job Security, Promotions / Appraisal, Work Satisfaction",,212,1.1k,22,7,22
5015,Kalyani Forge,3.7,Iron & Steel,Pune,6,"Company Culture, Work Satisfaction, Job Security",,212,719,14,2,26
5016,RSH Global,4.2,FMCG,Kolkata,47,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,212,712,8,2,18
5017,Epicor Software Corporation,3.3,IT Services & Consulting,Bangalore / Bengaluru,4,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,212,1.7k,26,8,25
5018,HEG,3.8,Semiconductors,Bhopal,11,"Promotions / Appraisal, Salary & Benefits, Company Culture",,212,860,17,--,25
5019,S&IB Services,3.9,Facility Management Services,Kolkata,36,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,212,716,6,--,15
5020,RSH Global,4.2,FMCG,Kolkata,47,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,212,712,8,2,18
5021,Akbar Travels,3.5,Travel & Tourism,Mumbai,31,"Promotions / Appraisal, Salary & Benefits, Company Culture",,212,950,11,5,15
5022,Oasis Partners Asia,3.8,Recruitment,New Delhi,88,"Promotions / Appraisal, Job Security, Salary & Benefits",,212,723,10,--,9
5023,Forvia,3.5,Auto Components,Pune,13,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,214,1.1k,20,--,3
5024,EMCO,3.7,Power,Mumbai,25,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",211,604,6,--,27
5025,Blue Cross Laboratories,3.9,Pharma,Mumbai,54,"Company Culture, Work Life Balance",Promotions / Appraisal,211,609,14,2,19
5026,UPS Supply Chain Solutions,3.7,Logistics,Pune,15,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,211,1.2k,11,--,14
5027,Bombay Dyeing,3.8,Fashion & Textile,Mumbai,22,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",211,884,9,--,28
5028,All India Radio,4.3,Government,New Delhi,80,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,211,601,10,--,23
5029,U R Rao Satellite Centre,4.2,Bangalore / Bengaluru +17 other locations,,0,"Work Life Balance, Company Culture, Work Satisfaction",,211,199,11,--,2
5030,Lifelong India,3.9,Petrochemicals,Gurgaon / Gurugram,8,"Job Security, Work Life Balance",Promotions / Appraisal,211,903,19,2,21
5031,Ashok Iron Works,3.3,Belgaum +6 other locations,,0,"Promotions / Appraisal, Company Culture, Work Satisfaction",,212,830,12,5,19
5032,Shankaranarayana Constructions,3.9,Engineering & Construction,Bangalore / Bengaluru,20,Salary & Benefits,,212,775,20,3,16
5033,Cordlife Sciences India,3.6,Pharma,Kolkata,33,"Promotions / Appraisal, Salary & Benefits, Company Culture",,211,591,13,11,27
5034,JUNIPER GREEN ENERGY,4.3,Power,Gurgaon / Gurugram,28,"Work Life Balance, Job Security, Salary & Benefits",,211,694,12,--,11
5035,PIT Solutions,4.1,IT Services & Consulting,Thiruvananthapuram,3,"Work Life Balance, Company Culture, Work Satisfaction",,211,977,17,8,73
5036,Government Medical College,4.0,Education & Training,Srinagar,63,"Work Satisfaction, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",211,799,6,--,12
5037,Pradhan Mantri Kaushal Vikas Yojana,4.0,Education & Training,New Delhi,91,"Work Life Balance, Skill Development / Learning, Company Culture",,211,365,7,--,26
5038,Square Bpo Services,3.3,BPO,Hyderabad / Secunderabad,5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,211,733,13,9,5
5039,Orange Mantra,3.7,IT Services & Consulting,Gurgaon / Gurugram,7,Salary & Benefits,Job Security,211,1.1k,26,32,22
5040,Vishnu Chemicals,4.0,Chemicals,Visakhapatnam,13,"Job Security, Work Life Balance",,211,824,20,1,18
5041,Tata Autocomp Gotion Green Energy Solutions,3.7,Auto Components,Pune,9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",211,665,13,--,2
5042,Kserve Bpo,4.5,BPO,Mumbai,5,"Company Culture, Work Life Balance, Skill Development / Learning",,211,437,9,--,4
5043,Red FM 93.5,3.9,Broadcasting,Bangalore / Bengaluru,51,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,211,765,8,--,17
5044,Little Millennium,3.8,EdTech,Bangalore / Bengaluru,40,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",211,630,17,10,20
5045,20Cube Logistics,3.8,Logistics,Chennai,30,"Promotions / Appraisal, Work Satisfaction, Job Security",,211,1k,19,2,15
5046,MeritNation,3.2,EdTech,New Delhi,20,"Job Security, Work Satisfaction, Promotions / Appraisal",,210,582,7,--,21
5047,Synthite Industries,4.1,Food Processing,Kochi,17,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,211,768,10,10,14
5048,Country Club India,3.4,Hospitality,Hyderabad / Secunderabad,27,"Promotions / Appraisal, Company Culture, Work Satisfaction",,210,513,2,--,16
5049,VRC Constructions India,3.8,Engineering & Construction,New Delhi,36,"Promotions / Appraisal, Company Culture",,210,680,9,--,20
5050,Sankey Solutions,3.9,IT Services & Consulting,Mumbai,6,"Skill Development / Learning, Company Culture, Work Satisfaction",,210,617,33,4,2
5051,South Eastern Coalfields,4.3,Metals & Mining,Bilaspur,29,"Job Security, Skill Development / Learning, Work Life Balance",,211,285,8,--,18
5052,Hippo Homes,3.3,Retail,New Delhi,15,"Job Security, Company Culture, Work Satisfaction",,210,657,14,--,4
5053,SGB By BrandSafway,3.9,Engineering & Construction,Hyderabad / Secunderabad,32,Salary & Benefits,Promotions / Appraisal,210,620,21,6,22
5054,ExcelSoft Technologies,3.3,IT Services & Consulting,Mysuru / Mysore,4,"Promotions / Appraisal, Salary & Benefits, Company Culture",,210,1.6k,20,10,11
5055,Forest Essentials,4.1,Retail,New Delhi,43,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,210,758,18,--,13
5056,Marquardt,3.6,Auto Components,Pune,5,"Promotions / Appraisal, Salary & Benefits, Company Culture",,210,1.3k,15,2,23
5057,International Certification Services,3.3,Other,Mumbai,34,"Promotions / Appraisal, Job Security, Salary & Benefits",,210,772,7,7,14
5058,Neogen Chemicals,4.0,Chemicals,Bharuch,8,"Salary & Benefits, Job Security, Work Life Balance",,210,1.2k,16,8,9
5059,Axio,3.7,Financial Services,Bangalore / Bengaluru,25,Company Culture,"Promotions / Appraisal, Work Satisfaction, Job Security",210,841,8,3,20
5060,VRC Constructions India,3.8,Engineering & Construction,New Delhi,36,"Promotions / Appraisal, Company Culture",,210,680,9,--,20
5061,IDMC,3.7,Industrial Machinery,Anand,14,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",210,876,7,2,13
5062,Jagran Prakashan,3.7,Printing & Publishing,New Delhi,51,"Promotions / Appraisal, Company Culture, Work Satisfaction",,210,865,8,--,12
5063,Country Club India,3.4,Hospitality,Hyderabad / Secunderabad,27,"Promotions / Appraisal, Company Culture, Work Satisfaction",,210,513,2,--,16
5064,SGB By BrandSafway,3.9,Engineering & Construction,Hyderabad / Secunderabad,32,Salary & Benefits,Promotions / Appraisal,210,620,21,6,22
5065,International Certification Services,3.3,Other,Mumbai,34,"Promotions / Appraisal, Job Security, Salary & Benefits",,210,772,7,7,14
5066,Anand CY Myutec Automotive,3.6,Auto Components,Gurgaon / Gurugram,11,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",211,703,11,--,28
5067,Absolute Barbecues,4.0,Hospitality,Hyderabad / Secunderabad,21,"Salary & Benefits, Company Culture, Work Life Balance",,210,830,9,--,20
5068,Knest Manufacturers,3.5,Metals & Mining,Pune,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,210,1.1k,12,1,6
5069,SAVA Healthcare,3.7,Pharma,Pune,14,"Promotions / Appraisal, Salary & Benefits",,211,769,14,66,20
5070,STMicroelectronics,4.1,Semiconductors,Noida,7,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,209,1.1k,23,8,26
5071,Kanoria Chemicals & Industries,3.9,Chemicals,Ankleshwar,16,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",209,868,15,--,29
5072,Information Services Group,3.9,IT Services & Consulting,Bangalore / Bengaluru,10,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",209,1.5k,22,18,13
5073,Savita Oil Technologies,4.2,Oil & Gas,Mumbai,29,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,209,944,10,3,10
5074,Adani Airport Holdings,3.1,Aviation,Ahmedabad,13,"Promotions / Appraisal, Company Culture, Work Satisfaction",,209,856,16,--,2
5075,TLC DigiTech Private Limited,3.1,Hospitality,New Delhi,23,"Promotions / Appraisal, Work Satisfaction, Company Culture",,209,767,14,15,19
5076,Zamil Air Conditioners,4.0,Consumer Electronics & Appliances,New Delhi,23,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,209,505,11,--,33
5077,Al Ahleia Switchgear,3.5,Industrial Machinery,Chennai,12,"Promotions / Appraisal, Salary & Benefits, Company Culture",,209,499,12,--,25
5078,City Montessori School,3.6,Education & Training,Lucknow,8,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Company Culture, Job Security",209,695,8,13,19
5079,Teleone,3.5,Internet,New Delhi,20,"Promotions / Appraisal, Salary & Benefits, Job Security",,209,707,11,--,19
5080,Unthinkable Solutions,2.7,IT Services & Consulting,Gurgaon / Gurugram,3,"Company Culture, Work Life Balance, Work Satisfaction",,209,1.5k,62,3,13
5081,RAXA,4.4,Law Enforcement & Security,New Delhi,26,"Job Security, Skill Development / Learning, Company Culture",,209,443,4,1,25
5082,Zivame.com,3.7,Fashion & Textile,Bangalore / Bengaluru,30,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",209,1k,10,--,9
5083,AGIO Pharmaceuticals,2.7,Pharma,Pune,9,"Job Security, Promotions / Appraisal, Company Culture",,209,817,15,30,6
5084,Sarda Energy & Minerals,4.0,Iron & Steel,Raipur,9,"Job Security, Work Life Balance, Company Culture",,209,792,11,2,10
5085,Alp Consulting,3.4,Recruitment,Bangalore / Bengaluru,18,"Promotions / Appraisal, Salary & Benefits, Job Security",,209,1.1k,22,10,19
5086,Embitel Technologies,3.9,IT Services & Consulting,Bangalore / Bengaluru,4,"Work Life Balance, Company Culture",Promotions / Appraisal,209,2k,23,86,9
5087,Root Industries,4.1,Auto Components,Coimbatore,17,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,209,1.2k,8,51,19
5088,WovVTech,4.1,Software Product,Vadodara,11,"Work Life Balance, Company Culture, Work Satisfaction",,209,402,18,3,4
5089,Jm Frictech,3.3,Industrial Machinery,Chennai,9,"Company Culture, Promotions / Appraisal, Work Satisfaction",,209,1.1k,14,6,15
5090,Vensa Infrastructure,4.2,Real Estate,Hyderabad / Secunderabad,24,"Job Security, Salary & Benefits, Company Culture",,209,674,18,--,13
5091,HOLITECH INDIA,4.0,Electronics Manufacturing,Greater Noida,12,"Skill Development / Learning, Company Culture, Work Life Balance",,209,719,27,--,41
5092,Ganit Inc,3.7,IT Services & Consulting,Chennai,7,Skill Development / Learning,Job Security,209,695,28,1,1
5093,Third wave Coffee Roasters,3.6,Internet,Bangalore / Bengaluru,10,Promotions / Appraisal,,209,777,19,--,6
5094,SRR Projects,3.9,Engineering & Construction,Hyderabad / Secunderabad,20,"Company Culture, Salary & Benefits",Promotions / Appraisal,209,696,15,5,17
5095,Koye Pharmaceuticals,3.1,Pharma,Mumbai,42,"Promotions / Appraisal, Job Security, Skill Development / Learning",,210,599,7,--,18
5096,iServeU,4.2,FinTech,Bhubaneswar,6,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,210,1k,24,17,5
5097,Cogent,3.2,IT Services & Consulting,Bangalore / Bengaluru,25,"Promotions / Appraisal, Salary & Benefits, Company Culture",,209,803,20,--,6
5098,Armstrong Robotics & Technologies Private Limited,3.9,Industrial Automation,Nashik,13,"Skill Development / Learning, Company Culture",,209,884,27,3,12
5099,PrepLadder,2.9,EdTech,Chandigarh,16,"Job Security, Promotions / Appraisal, Skill Development / Learning",,209,1k,31,9,20
5100,Concentrix Catalyst,3.1,IT Services & Consulting,Hyderabad / Secunderabad,9,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",,209,2.2k,36,4,3
5101,Ziff Davis Performance Marketing,3.6,Marketing & Advertising,Pune,3,"Promotions / Appraisal, Job Security, Skill Development / Learning",,209,776,4,4,13
5102,Tata CLiQ,3.0,Internet,Mumbai,9,"Promotions / Appraisal, Work Satisfaction, Company Culture",,209,1.3k,15,1,27
5103,VisionTek,3.6,Telecom,Hyderabad / Secunderabad,28,"Promotions / Appraisal, Company Culture, Work Satisfaction",,208,806,14,2,20
5104,Beri Udyog,3.8,Industrial Machinery,Karnal,16,Promotions / Appraisal,,208,781,17,3,15
5105,Rustomjee Group,3.9,Real Estate,Mumbai,5,"Job Security, Salary & Benefits",Promotions / Appraisal,208,1.1k,20,3,12
5106,Credgenics,3.8,FinTech,Noida,6,"Company Culture, Work Life Balance, Job Security",,208,1.2k,32,37,7
5107,SpeedLabs,3.6,EdTech,Mumbai,15,"Job Security, Promotions / Appraisal, Salary & Benefits",,208,425,14,27,14
5108,Microlink Solutions,4.0,IT Services & Consulting,Ahmedabad,32,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",208,705,11,2,19
5109,Indo Nissin Foods,4.0,Food Processing,Bangalore / Bengaluru,37,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,208,652,7,--,18
5110,Numerator,3.9,Software Product,Vadodara,3,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Job Security",208,1.1k,27,155,16
5111,Girnar Care,3.4,BPO,Jaipur,17,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,208,720,17,--,16
5112,SIAC SKH India Cabs Manufacturing,3.8,Industrial Machinery,Faridabad,9,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning",209,742,23,--,14
5113,SkillVertex,3.3,EdTech,Bangalore / Bengaluru,10,"Job Security, Promotions / Appraisal, Salary & Benefits",,208,287,17,3,66
5114,Moople Academy,4.1,Education & Training,Kolkata,10,"Company Culture, Work Life Balance, Skill Development / Learning",,209,126,34,5,3
5115,AWC Software,3.9,IT Services & Consulting,Noida,15,"Work Life Balance, Company Culture",Promotions / Appraisal,208,1.4k,15,7,23
5116,Colourtex,3.8,Chemicals,Surat,13,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",208,954,11,2,16
5117,CallHealth,3.5,Healthcare,Hyderabad / Secunderabad,17,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,208,787,4,--,27
5118,Experis,3.1,Bangalore / Bengaluru +15 other locations,,0,"Promotions / Appraisal, Job Security, Skill Development / Learning",,208,1.4k,14,--,8
5119,Scyo Decision Services,4.5,Analytics & KPO,Chennai,2,"Job Security, Work Life Balance, Company Culture",,208,311,24,2,1
5120,OPG Mobility,3.3,New Delhi +33 other locations,,0,"Job Security, Promotions / Appraisal, Company Culture",,209,621,13,--,2
5121,Fortis Memorial Research Institute,4.0,Clinical Research,Gurgaon / Gurugram,8,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,208,784,5,--,11
5122,Navitas Life Sciences,3.6,Clinical Research,Chennai,7,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",208,1.3k,14,12,15
5123,BoAt,4.2,Consumer Electronics & Appliances,Mumbai,16,"Work Life Balance, Company Culture, Job Security",,207,1.2k,10,2,7
5124,Krishnapatnam Port,3.8,Ports & Shipping,Nellore,14,"Skill Development / Learning, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",208,715,7,--,37
5125,UGC Supply Chain Solutions,2.9,Logistics,Pune,22,"Promotions / Appraisal, Salary & Benefits, Company Culture",,208,910,6,--,18
5126,Sewa Grih Rin,3.4,NBFC,New Delhi,55,"Job Security, Promotions / Appraisal, Company Culture",,208,798,5,--,7
5127,Moreish Food,3.1,Food Processing,Kolkata,25,"Promotions / Appraisal, Company Culture, Work Satisfaction",,208,506,21,2,7
5128,ZeMoSo Technologies,3.5,IT Services & Consulting,Hyderabad / Secunderabad,5,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance",208,940,160,31,5
5129,LetsTransport,3.5,Logistics,Bangalore / Bengaluru,27,"Promotions / Appraisal, Job Security, Work Satisfaction",,207,1k,20,--,22
